,name,index
0,1.8극장,0
1,IT융합대학,1
2,경상대학,2
3,공과대학제1공학관,3
4,공과대학제2공학관,4
5,교수연구동,5
6,국제관(언어교육원),6
7,그린빌리지(기숙사),7
8,글로벌하우스(기숙사),8
9,대운동장,9
10,미술대학(미술관),10
11,백학여학사(기숙사),11
12,법과대학,12
13,본관,13
14,"사회대학,사범대학",14
15,생명공학관,15
16,생산교육실험실습동,16
17,서석홀,17
18,백학남학사(기숙사),18
19,솔마루(식당),19
20,약학대학1호관,20
21,약학대학2호관,21
22,약학대학3호관,22
23,의과대학1호관,23
24,의과대학2호관,24
25,의과대학3호관,25
26,의성관(연구동),26
27,입석홀(식당),27
28,자연과학관,28
29,장미원,29
30,장황남정보통신박물관,30
31,조선간호대학,31
32,조선대학교병원,32
33,조선대학교부속고등학교,33
34,조선대학교부속중학교,34
35,조선대학교어린이집,35
36,조선대학교여자고등학교,36
37,조선대학교여자중학교,37
38,조선대학교치과병원,38
39,조선대학교병원장례식장,39
40,"조선이공대학1,3호관",40
41,"조선이공대학2,4호관",41
42,주차빌딩,42
43,중앙도서관,43
44,창업보육센터,44
45,체육대학,45
46,치과대학(교육동),46
47,치과대학(연구동),47
48,태양에너지실증연구단지,48
49,학군단(ROTC),49
50,학생회관(동아리연합),50
51,"항공우주,선박해양공학관",51
52,해오름관,52
53,황금추관(고시원),53
54,조대여고사거리,54
55,조대여중삼거리1,55
56,조대여중삼거리2,56
57,미대뒤후문삼거리,57
58,백학학사삼거리(조대여중),58
59,백학학사삼거리(학생회관),59
60,서석홀삼거리(학생회관),60
61,서석홀삼거리(조대여중),61
62,1.8극장오거리,62
63,미대삼거리(1.8극장),63
64,미대사거리(후문),64
65,대운동장상측출입구,65
66,후문커브길,66
67,후문삼거리(치과방향),67
68,후문쪽길삼거리,68
69,운동장좌측삼거리,69
70,1.8극장사거리(국제관),70
71,장황남입구_1.8극장육거리,71
72,학생회관삼거리(본관오르막),72
73,사범대곡선로,73
74,사범대오르막삼거리,74
75,백학_본관계단2,75
76,백학_본관계단1,76
77,108계단좌측삼거리,77
78,108계단3,78
79,108계단4(본관),79
80,108계단2,80
81,108계단1,81
82,국제관뒷문,82
83,국제관앞문,83
84,대운동장우측중앙출구,84
85,국제관_중도사잇길,85
86,중앙도서관정문,86
87,대운동장우측아래,87
88,중앙도서관서점출구,88
89,중도_해오름관사잇길,89
90,해오름관중앙출입구,90
91,해오름관버스정류장,91
92,해오름관옆주차장,92
93,IT오솔길,93
94,"IT오솔길(중도,솔마루)",94
95,"솔마루윗길(본관,법대,IT5층)",95
96,IT5층_본관갈림길,96
97,IT5층출입구,97
98,본관남쪽내리막(경상대방면),98
99,경상대버스정류장,99
100,IT_경상대오르막커브길,100
101,법대입구,101
102,2공학관버스정류장,102
103,IT_2공학관오르막,103
104,2공학관사잇길삼거리,104
105,글로벌_항공우주사잇길1,105
106,항공우주삼거리,106
107,글로벌_학군단갈림길,107
108,글로벌하우스커브길,108
109,조대부고삼거리,109
110,선박해양삼거리,110
111,"조이공1,3호관삼거리(선박해양)",111
112,조이공본부앞오거리,112
113,조이공S자커브길1,113
114,조이공S자커브길2,114
115,조이공2호관입구,115
116,조이공4호관앞커브길,116
117,대운동장하측출입구,117
118,대운동장좌측출입구,118
119,조이공1호관입구,119
120,치과병원커브길,120
121,"치과,조대부중출입구",121
122,장자연사잇길1,122
123,장자연사잇길2,123
124,정문교차로,124
125,회전교차로,125
126,장미원CU앞,126
127,"의과대학1,3호관사잇길",127
128,의과대학1호관입구,128
129,"의과대학1,2호관사잇길",129
130,체대출입구,130
131,"체대,주차빌딩갈림길",131
132,"의과대학2,3호관사잇길",132
133,자연대사거리,133
134,자연대삼거리,134
135,조이공2호관_병원오르막,135
136,"어린이집,선박해양갈림길",136
137,"간호대,태양연구단지갈림길",137
138,조선간호대커브길1,138
139,조선간호대출입구,139
140,태양연구단지커브길1,140
141,태양연구단지커브길2,141
142,그린빌리지커브길,142
143,그린빌리지삼거리,143
144,그린빌리지사잇길,144
145,조대병원삼거리,145
146,조선간호대커브길2,146
147,"조대병원,간호대오거리",147
148,조대병원후문사거리,148
149,조대병원정문사거리,149
150,조대병원장례식장커브길,150
151,"의성관,장례식장갈림길",151
152,의성관입구,152
153,조대병원장례식장입구,153
154,주차빌딩좌측사거리,154
155,주차빌딩후문,155
156,체대좌측뒷쪽사잇길,156
157,"조대병원,주차빌딩갈림길",157
158,약학대학갈림길,158
159,1공대앞갈림길,159
160,생산교육실습동갈림길,160
161,글로벌_항공우주사잇길2,161
162,태양에너지삼거리,162
163,조대어린이집커브길,163
164,글로벌하우스출입구,164
165,황금추관커브길,165
166,2공학관커브길,166
167,의성관뒤쪽삼거리,167
168,자연대출입구,168
169,의과대학3호관후문,169
170,의과대2호관입구,170
171,조이공1호관후문,171
172,장황남입구,172
173,서석홀입구,173
174,장미원입구,174
175,조대병원내부,175
176,IT융합대학5층,176
177,주차빌딩옥상,177
178,학생회관3층,178
