,location,latitude,longitude
0,조대여고사거리,35.14708,126.93194
1,조대여중삼거리1,35.14549,126.93093
2,조대여중삼거리2,35.14492,126.93055
3,미대뒤후문삼거리,35.14446,126.93026
4,백학학사삼거리(조대여중),35.14552,126.9322
5,백학학사삼거리(학생회관),35.14514,126.93326
6,서석홀삼거리(조대여중),35.14499,126.93177
7,서석홀삼거리(학생회관),35.14468,126.93271
8,1.8극장오거리,35.14448,126.93152
9,미대삼거리(1.8극장),35.14416,126.93097
10,미대사거리(후문),35.14395,126.92999
11,대운동장상측출입구,35.14348,126.93041
12,후문커브길,35.14481,126.92943
13,후문삼거리,35.14421,126.92896
14,후문쪽길삼거리,35.14355,126.92959
15,운동장좌측삼거리,35.1433,126.92922
16,1.8극장사거리(국제관),35.14345,126.93157
17,1.8극장육거리,35.14346,126.93236
18,학생회관삼거리(본관오르막),35.14326,126.93302
19,사범대곡선로,35.1453,126.93425
20,사범대오르막삼거리,35.14457,126.93378
21,백학_본관계단1,35.14389,126.9337
22,백학_본관계단2,35.14367,126.93419
23,108계단좌측삼거리,35.14279,126.93366
24,108계단1,35.14242,126.93265
25,108계단2,35.14247,126.93321
26,108계단3,35.14255,126.93375
27,108계단4(본관),35.14271,126.93441
28,국제관뒷문,35.14289,126.93248
29,국제관앞문,35.14276,126.93164
30,대운동장우측중앙출구,35.1423,126.93173
31,국제관_중도사잇길,35.14236,126.93218
32,중앙도서관정문,35.1418,126.93179
33,대운동장우측아래,35.14097,126.9319
34,중앙도서관서점출구,35.14127,126.93229
35,중도_해오름관사잇길,35.14132,126.93276
36,해오름관중앙출입구,35.14074,126.93261
37,해오름관버스정류장,35.14017,126.93201
38,해오름관옆주차장,35.14025,126.93267
39,IT오솔길,35.14041,126.93391
40,"IT오솔길(중도,솔마루)",35.14139,126.93364
41,"솔마루윗길(본관,법대,IT5층)",35.14153,126.93394
42,IT5층_본관갈림길,35.14105,126.93429
43,IT5층출입구,35.14066,126.93421
44,본관남쪽내리막(경상대방면),35.14094,126.93485
45,경상대버스정류장,35.14035,126.93486
46,IT_경상대오르막커브길,35.13928,126.9346
47,법대입구,35.13936,126.93506
48,2공학관버스정류장,35.13918,126.93364
49,IT_2공학관오르막,35.13918,126.93217
50,2공학관사잇길삼거리,35.13874,126.93232
51,글로벌_항공우주사잇길1,35.13843,126.93242
52,항공우주삼거리,35.13761,126.93228
53,글로벌_학군단갈림길,35.13786,126.93304
54,글로벌하우스커브길,35.13756,126.9337
55,조대부고삼거리,35.13698,126.93118
56,선박해양삼거리,35.13784,126.93079
57,"조이공1,3호관삼거리(선박해양)",35.13901,126.93076
58,조이공본부앞오거리,35.13987,126.93053
59,조이공S자커브길1,35.13976,126.93032
60,조이공S자커브길2,35.13952,126.93051
61,조이공2호관입구,35.13932,126.93032
62,조이공4호관앞커브길,35.13875,126.93026
63,대운동장하측출입구,35.14077,126.93035
64,대운동장좌측출입구,35.14184,126.9293
65,조이공1호관입구,35.14084,126.93111
66,치과병원커브길,35.14513,126.92669
67,"치과,조대부중출입구",35.14364,126.92689
68,장자연사잇길1,35.14295,126.92713
69,장자연사잇길2,35.14269,126.92878
70,정문교차로,35.14213,126.92707
71,회전교차로,35.14173,126.92841
72,장미원CU앞,35.14149,126.92894
73,"의과대학1,3호관사잇길",35.14108,126.92927
74,의과대학1호관입구,35.14075,126.92969
75,"의과대학1,2호관사잇길",35.14038,126.92898
76,체대우측출입구,35.14102,126.92812
77,"체대,주차빌딩갈림길",35.14103,126.92714
78,"의과대학2,3호관사잇길",35.14083,126.92803
79,자연대사거리,35.13971,126.929
80,자연대삼거리,35.1398,126.92791
81,조이공2호관_병원오르막,35.13874,126.92865
82,"어린이집,선박해양갈림길",35.13734,126.93002
83,"간호대,태양연구단지갈림길",35.1375,126.92954
84,조선간호대커브길1,35.13807,126.92922
85,조선간호대출입구,35.13809,126.92865
86,태양연구단지커브길1,35.13668,126.92878
87,태양연구단지커브길2,35.13734,126.9281
88,그린빌리지커브길,35.13694,126.92798
89,그린빌리지삼거리,35.13741,126.9278
90,그린빌리지사잇길,35.13718,126.9275
91,조대병원삼거리,35.13807,126.92754
92,조선간호대커브길2,35.13797,126.92792
93,"조대병원,간호대오거리",35.13868,126.92785
94,조대병원후문사거리,35.13811,126.92639
95,조대병원정문사거리,35.13907,126.9269
96,조대병원장례식장커브길,35.13938,126.92514
97,"의성관,장례식장갈림길",35.14,126.92541
98,의성관입구,35.13957,126.92585
99,조대병원장례식장입구,35.14025,126.92498
100,주차빌딩좌측사거리,35.14018,126.92612
101,주차빌딩후문,35.13964,126.92685
102,체대좌측뒷쪽사잇길,35.13986,126.92705
103,"조대병원,주차빌딩갈림길",35.1395,126.92715
104,약학대학갈림길,35.14159,126.92637
105,1공대앞갈림길,35.14216,126.92643
106,글로벌_항공우주사잇길2,35.13805,126.93249
107,태양에너지삼거리,35.13732,126.92857
108,조대어린이집커브길,35.13717,126.93194
109,글로벌하우스출입구,35.13795,126.93408
110,2공학관커브길,35.13897,126.93289
111,의성관뒤쪽삼거리,35.139,126.92545
112,자연대출입구,35.13979,126.92841
113,의과대학3호관후문,35.1406,126.92859
114,의과대2호관입구,35.14026,126.92949
115,조이공1호관후문,35.13994,126.93127
116,장황남입구,35.14414,126.93224
117,서석홀입구,35.14486,126.93222
118,장미원입구,35.14127,126.92941
119,조대병원내부,35.13888,126.92678
120,생산교육실습동갈림길,35.14145,126.92591
121,황금추관커브길,35.13858,126.93414
122,IT융합대학5층,35.14011,126.93422
123,주차빌딩옥상,35.13999,126.92677
124,학생회관3층,35.14419,126.93319
